Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Naive,Realtime,5102.182312011719,1492.2009690954908,1196.0,0.24765967315676488
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Naive,Realtime,1729.362572669983,505.7750486062389,606.0,0.16538770857056287
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Naive,Realtime,1729.362572669983,505.7750486062389,534.0,0.05285571422052641
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Naive,Realtime,6639.323947906494,1941.758452237411,2609.0,0.25574608959853934
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Naive,Realtime,4590.344056129456,1342.507074455627,1073.0,0.2511715512168005
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Naive,Realtime,5613.892818450928,1641.8575017143467,1993.0,0.17618790681668506
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Naive,Realtime,609.9719657897949,178.39440122117747,206.0,0.13400776106224527
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Naive,Realtime,609.9719657897949,178.39440122117747,192.0,0.07086249363970065
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Naive,Realtime,609.9719657897949,178.39440122117747,218.0,0.18167705861845196
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Naive,Realtime,609.9719657897949,178.39440122117747,191.0,0.06599789936556295
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Perfect,Realtime,5102.182312011719,1196.0,1196.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Perfect,Realtime,1729.362572669983,606.0,606.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Perfect,Realtime,1729.362572669983,534.0,534.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Perfect,Realtime,6639.323947906494,2609.0,2609.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Perfect,Realtime,4590.344056129456,1073.0,1073.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Perfect,Realtime,5613.892818450928,1993.0,1993.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Perfect,Realtime,609.9719657897949,206.0,206.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Perfect,Realtime,609.9719657897949,192.0,192.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Perfect,Realtime,609.9719657897949,218.0,218.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastq-cleaner,Perfect,Realtime,609.9719657897949,191.0,191.0,0.0
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastqc,Lotaru-G,Realtime,883.0247402191162,157.7262777350782,115.0,0.3715328498702453
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastqc,Lotaru-G,Realtime,198.34341430664062,87.04829554684778,68.0,0.2801219933359968
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastqc,Lotaru-G,Realtime,99.30306816101074,76.82460233969314,52.0,0.47739619884025275
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastqc,Lotaru-G,Realtime,1559.6764736175537,227.57538468572332,251.0,0.09332516061464813
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastqc,Lotaru-G,Realtime,721.4454488754272,141.04684185247024,103.0,0.3693868141016528
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastqc,Lotaru-G,Realtime,752.9015731811523,144.29398079032262,223.0,0.3529417901779255
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastqc,Lotaru-G,Realtime,311.80230712890625,98.76038013642155,79.0,0.2501313941319183
"CPU:Intel(R) Xeon(R) Gold 6126,Memory:191889MiB,Cores:48",dnaseq-0,fastqc,Lotaru-G,Realtime,397.61913776397705,107.61904211174648,105.0,0.02494325820710934
