tool_name,input_size,actual_memory_bytes,predicted_memory_bytes,total_allocated_bytes,method_name,wastage_mb,failed,exec_time_s,retry_penalty_time_s,num_retries,confidence,source
burrows-wheeler-aligner,1475,6097,6094,12188,FAMR_1,6091,false,950,871,1,0.9970876104078833,FAMR
burrows-wheeler-aligner,1475,6080,6094,6094,FAMR_1,14,false,947,0,0,0.9970876104078833,FAMR
burrows-wheeler-aligner,1475,6088,6094,6094,FAMR_1,6,false,944,0,0,0.9970876104078833,FAMR
burrows-wheeler-aligner,1475,6089,6094,6094,FAMR_1,5,false,940,0,0,0.9970876104078833,FAMR
burrows-wheeler-aligner,1475,6086,6094,6094,FAMR_1,8,false,895,0,0,0.9970876104078833,FAMR
burrows-wheeler-aligner,1475,6036,6094,6094,FAMR_1,58,false,633,0,0,0.9970876104078833,FAMR
burrows-wheeler-aligner,1475,6089,6094,6094,FAMR_1,5,false,911,0,0,0.9970876104078833,FAMR
burrows-wheeler-aligner,1730,6135,6102,12204,FAMR_1,6069,false,785,719,1,0.9959083110624198,FAMR
burrows-wheeler-aligner,1730,6121,6102,12204,FAMR_1,6083,false,743,683,1,0.9959083110624198,FAMR
burrows-wheeler-aligner,1730,6055,6102,6102,FAMR_1,47,false,742,0,0,0.9959083110624198,FAMR
burrows-wheeler-aligner,1730,6069,6102,6102,FAMR_1,33,false,706,0,0,0.9959083110624198,FAMR
burrows-wheeler-aligner,813,6015,6038,6038,FAMR_1,23,false,418,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6009,6038,6038,FAMR_1,29,false,449,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6020,6038,6038,FAMR_1,18,false,427,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6024,6038,6038,FAMR_1,14,false,426,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6016,6038,6038,FAMR_1,22,false,439,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6031,6038,6038,FAMR_1,7,false,423,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6026,6038,6038,FAMR_1,12,false,442,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6019,6038,6038,FAMR_1,19,false,438,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6018,6038,6038,FAMR_1,20,false,465,0,0,0.9971681780990362,FAMR
burrows-wheeler-aligner,813,6046,6038,12076,FAMR_1,6030,false,429,366,1,0.9971681780990362,FAMR
burrows-wheeler-aligner,610,6008,6035,6035,FAMR_1,27,false,362,0,0,0.9966110004708677,FAMR
burrows-wheeler-aligner,610,6029,6035,6035,FAMR_1,6,false,331,0,0,0.9966110004708677,FAMR
burrows-wheeler-aligner,610,6040,6035,12070,FAMR_1,6030,false,334,278,1,0.9966110004708677,FAMR
burrows-wheeler-aligner,610,5996,6035,6035,FAMR_1,39,false,369,0,0,0.9966110004708677,FAMR
burrows-wheeler-aligner,610,6008,6035,6035,FAMR_1,27,false,366,0,0,0.9966110004708677,FAMR
burrows-wheeler-aligner,610,6040,6035,12070,FAMR_1,6030,false,338,280,1,0.9966110004708677,FAMR
burrows-wheeler-aligner,610,6024,6035,6035,FAMR_1,11,false,342,0,0,0.9966110004708677,FAMR
burrows-wheeler-aligner,610,6013,6035,6035,FAMR_1,22,false,342,0,0,0.9966110004708677,FAMR
burrows-wheeler-aligner,610,6015,6035,6035,FAMR_1,20,false,359,0,0,0.9966110004708677,FAMR
burrows-wheeler-aligner,610,6026,6035,6035,FAMR_1,9,false,329,0,0,0.9966110004708677,FAMR
burrows-wheeler-aligner,406,5992,6002,6002,FAMR_1,10,false,260,0,0,0.9983913048973714,FAMR
burrows-wheeler-aligner,406,6006,6002,12004,FAMR_1,5998,false,232,175,1,0.9983913048973714,FAMR
burrows-wheeler-aligner,406,5991,6002,6002,FAMR_1,11,false,237,0,0,0.9983913048973714,FAMR
burrows-wheeler-aligner,406,5995,6002,6002,FAMR_1,7,false,245,0,0,0.9983913048973714,FAMR
burrows-wheeler-aligner,406,5998,6002,6002,FAMR_1,4,false,240,0,0,0.9983913048973714,FAMR
burrows-wheeler-aligner,406,5996,6002,6002,FAMR_1,6,false,258,0,0,0.9983913048973714,FAMR
burrows-wheeler-aligner,406,6000,6002,6002,FAMR_1,2,false,260,0,0,0.9983913048973714,FAMR
